№,名称,よみ,所在地,所有者,種別,指定年月日
192,紙本墨書後西天皇宸翰御懐紙,しほんぼくしょごさいてんのうしんかんごかいし,鹿島町御代字寺ノ入,光西寺,市指定　有形文化財書跡,1983年8月25日
193,絹本用林顕材建長寺入寺山門疏,けんぽんようりんけんざいけんちょうじさんもんそ,小名浜林城字大門,禅長寺,市指定　有形文化財書跡,1990年3月27日
194,高月山阿遮院祠堂金之記,たかつきさんあしゃいんしどうきんのき,四倉町薬王寺字塙,薬王寺,市指定　有形文化財書跡,1995年4月28日
195,奥州磐城薬王寺来由記,おうしゅういわきやくおうじらいゆき,四倉町薬王寺字塙,薬王寺,市指定　有形文化財書跡,1995年4月28日
196,飯野八幡宮射具記,いいのはちまんぐうしゃぐき,平字八幡小路,飯野八幡宮,市指定　有形文化財書跡,2004年4月28日
197,飯野八幡宮簾帳賛并序,いいのはちまんぐうれんちょうのさんならびにじょ,平字八幡小路,飯野八幡宮,市指定　有形文化財書跡,2004年4月28日
198,摩訶般若波羅蜜多心経（般若心経）,まかはんにゃはらみったしんぎょう（はんにゃしんぎょう）,四倉町薬王寺字塙,薬王寺,市指定　有形文化財書跡,2005年4月27日
199,正誉本古写経手鑑,しょうよぼんこしゃきょうてかがみ,四倉町薬王寺字塙,薬王寺,市指定　有形文化財書跡,2005年4月27日
200,如来寺蔵典籍,にょらいじぞうてんせき,平山崎字矢ノ目,如来寺,市指定　有形文化財典籍,1995年4月28日
201,延寿護法録,えんじゅごほうろく,四倉町薬王寺字塙,薬王寺,市指定　有形文化財典籍,1995年4月28日
202,寶聚院典籍及び印信状,ほうじゅいんてんせきおよびいんじんじょう,小川町西小川字上谷地,寶聚院,市指定　有形文化財典籍,2009年4月27日
203,薬王寺文書,やくおうじもんじょ,四倉町薬王寺字塙,薬王寺,市指定　有形文化財古文書,1987年3月31日
204,真木家文書,まきけもんじょ,平字六間門,個人,市指定　有形文化財古文書,2013年4月24日
205,伊勢屋所蔵文書,いせやしょぞうもんじょ,常磐藤原町手這（考古資料館）,いわき市,市指定　有形文化財古文書,2014年5月1日（2024年4月30日）
206,板石塔婆,いたいしとうば,平下平窪字諸荷,諸荷区,市指定　有形文化財考古資料,1968年12月27日
207,古墳時代の玉類,こふんじだいのぎょくるい,平神谷作字細谷,個人,市指定　有形文化財考古資料,1968年12月27日
208,青銅製鈴杏葉,せいどうせいすずぎょうよう,平字高月,個人,市指定　有形文化財考古資料,1989年3月25日
209,古墳時代の馬鐸,こふんじだいのばたく,平上高久字八ッ海,個人,市指定　有形文化財考古資料,2002年4月30日
210,平城下古地図,たいらじょうかこちず,（美術館寄託中）,個人,市指定　有形文化財歴史資料,1968年12月27日
211,天明飢饉の碑,てんめいききんのひ,小川町上小川字植ノ内,常慶寺,市指定　有形文化財歴史資料,1973年6月30日
212,上桶売熊倉神社算額,かみおけうりくまくらじんじゃさんがく,川前町上桶売字宮下,熊倉神社,市指定　有形文化財歴史資料,1977年5月4日
213,越田和文書（附）木造役小角像・木造薬師如来立像,こしだわもんじょ,東田町一丁目,個人,市指定　有形文化財歴史資料,1982年3月26日
214,文禄四年林城村検地帳（附）元禄十五年林城村新田水帳,ぶんろくよねんりんじょうむらけんちちょう,小名浜林城字大門,林城区,市指定　有形文化財歴史資料,1985年3月29日
215,上平文書（附）三通,うわだいらもんじょ,平字揚土,個人,市指定　有形文化財歴史資料,1988年3月25日
216,豊臣秀吉禁制状,とよとみひでよしきんせいじょう,平字堂根町（美術館）,いわき市,市指定　有形文化財歴史資料,1990年3月27日
217,片倉景綱書状,かたくらかげつなしょじょう,平字八幡小路,個人,市指定　有形文化財歴史資料,1997年5月13日
218,磐城平城下絵図,いわきたいらじょうかえず,平字柳町,個人,市指定　有形文化財歴史資料,1998年4月10日
219,安藤重長画像,あんどうしげなががぞう,平字古鍜冶町,良善寺,市指定　有形文化財歴史資料,2001年4月27日
220,安藤信友画像,あんどうのぶともがぞう,平字古鍜冶町,良善寺,市指定　有形文化財歴史資料,2001年4月27日
221,月形函,つきがたのはこ,平山崎字矢ノ目,如来寺,市指定　有形文化財歴史資料,2003年4月25日
222,平藩御典医松井家医学関係資料,たいらはんごてんいまついけいがくかんけいしりょう,平下高久字清水,個人,市指定　有形文化財歴史資料,2005年4月27日
223,節婦褒賞の図,せっぷほうしょうのず,小川町塩田字宮ノ後・高萩字家ノ前,諏訪神社,市指定　有形文化財歴史資料,2006年4月28日
224,国魂石室記並びに出土品・箱,くにたませきしつきならびにしゅつどひん・はこ,平菅波字宮前,個人,市指定　有形文化財歴史資料,2007年6月27日
225,笠間領?示,かさまりょうぼうじ,平中神谷字瀬戸,個人,市指定　有形文化財歴史資料,2010年4月23日
226,磐城平藩士中村布早関係資料,いわきたいらはんしなかむらふそうかんけいしりょう,平字六間門,個人,市指定　有形文化財歴史資料,2011年10月20日
227,長福寺縁起,ちょうふくじえんぎ,小川町下小川字上ノ台,長福寺,市指定　有形文化財歴史資料,2014年5月1日
228,安藤家狩場の図,あんどうけかりばのず,内郷綴町板宮沢,個人,市指定　有形文化財歴史資料,2014年5月1日
229,木造愛染明王坐像,もくぞうあいぜんみょうおうざぞう,平下神谷字宿,神照寺,市指定　有形文化財歴史資料,2015年5月1日
230,木造青岑珠鷹禅師坐像,もくぞうせいしんしゅようぜんじざぞう,平下荒川字諏訪下,龍門寺,市指定　有形文化財歴史資料,2015年5月1日
