全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL_1,画像_2,画像ライセンス,備考_3
222119,BB00000055,静岡県磐田市,女神像,ニョシンゾウ,,,,,,,,静岡県磐田市中泉112-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000056,静岡県磐田市,聖観音菩薩立像,ショウカンノンボサツリツゾウ,,,,,,,,静岡県磐田市城之崎4-2722-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000057,静岡県磐田市,薬師如来坐像,ヤクシニョライザゾウ,,,,,,,,静岡県磐田市見付3353-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000058,静岡県磐田市,不動三尊立像,フドウサンゾンリツゾウ,,,,,,,,静岡県磐田市見付2896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000059,静岡県磐田市,薬師如来立像,ヤクシニョライリツゾウ,,,,,,,,静岡県磐田市上大之郷524-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000060,静岡県磐田市,子育如来像・子育地蔵菩薩像,コソダテニョライゾウ・コソダテジゾウボサツゾウ,,,,,,,,静岡県磐田市見付1340-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000061,静岡県磐田市,木造閻魔大王坐像,モクゾウエンマダイオウザゾウ,,,,,,,,静岡県磐田市二之宮1262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000062,静岡県磐田市,木造千手観音菩薩立像,モクゾウセンジュカンノンボサツリツゾウ,,,,,,,,"静岡県磐田市前野1759-1
(定光寺飛地境内 蓮華寺)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000063,静岡県磐田市,紙本墨画淡彩山水十二月之図,シホンボクガタンサイサンスイジュウニツキノズ,,,,,,,,静岡県磐田市個人蔵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000064,静岡県磐田市,紙本金地著色野外遊楽図,シホンキンジチャクショクヤガイユウラクズ,,,,,,,,静岡県磐田市見付3678-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000065,静岡県磐田市,紙本金地著色源氏物語図,シホンキンジチャクショクゲンジモノガタリズ,,,,,,,,静岡県磐田市見付3678-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000066,静岡県磐田市,紙本金地著色三十六歌仙図,シホンキンジチャクショクサンジュウロクカセンズ,,,,,,,,静岡県磐田市鎌田2065-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000067,静岡県磐田市,伊藤虎三郎氏奉納書画一式,イトウトラサブロウシホウノウショガイッシキ,,,,,,,,静岡県磐田市見付1114-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000068,静岡県磐田市,北野天神縁起絵巻,キタノテンジンエンギエマキ,,,,,,,,静岡県磐田市見付1114-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000069,静岡県磐田市,瑞花鳳鸞八稜鏡,ズイカホウランハチリョウキョウ,,,,,,,,静岡県磐田市中泉112-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000070,静岡県磐田市,持蓮華,ジレンゲ,,,,,,,,静岡県磐田市見付3353-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000071,静岡県磐田市,雲板,ウンバン,,,,,,,,静岡県磐田市見付2431-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000072,静岡県磐田市,刺繍十六羅漢図,シシュウジュウロクラカンズ,,,,,,,,静岡県磐田市見付2896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000073,静岡県磐田市,梵鐘,ボンショウ,,,,,,,,静岡県磐田市見付1340-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000074,静岡県磐田市,五鈷鈴,ゴコレイ,,,,,,,,静岡県磐田市見付2896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000075,静岡県磐田市,見付町青年団旗,ミツケチョウセイネンダンキ,,,,,,,,静岡県磐田市見付3678-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000076,静岡県磐田市,槍 銘包直,ヤリメイカネナオ,,,,,,,,静岡県磐田市見付3884-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000077,静岡県磐田市,桐唐草紋食籠,キリカラクサモンジキロウ,,,,,,,,静岡県磐田市見付3884-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222119,BB00000078,静岡県磐田市,吉野山蒔絵文庫・硯箱・色紙箱・短冊箱,ヨシノヤママキエブンコ・スズリバコ・シキシバコ・タンザクバコ,,,,,,,,静岡県磐田市見付3884-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
