全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_通称,名称_英語,文化財分類,種類,場所名称,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,員数（数）,員数（単位）,法人番号,所有者等,文化財指定日,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,画像,画像_ライセンス,概要,概要_英語,説明,説明_英語,URL,備考,住所
382019,0000000099,愛媛県松山市,河野通清供養塔,コウノミチキヨクヨウトウ,,,市指定史跡,その他,,382019,58000,愛媛県松山市小川,愛媛県,松山市,小川,,,33.92211059,132.7585363,,,,,,,,,,,,,1966/4/10,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/michikiyo_kuyoutou.html,,愛媛県松山市小川
382019,0000000100,愛媛県松山市,鎌大師境内,カマダイシケイダイ,,,市指定史跡,その他,,382019,141000,愛媛県松山市下難波,愛媛県,松山市,下難波,,,33.9894221,132.7850208,,,,,,,,,,,,,1973/4/9,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/kamadaisi_keidai.html,,愛媛県松山市下難波
382019,0000000101,愛媛県松山市,中村三十三墓,ナカムラサンジュウサンバカ,,,市指定史跡,その他,,382019,181000,愛媛県松山市立岩中村字門前,愛媛県,松山市,立岩中村字門前,,,33.97570499,132.857729,,,,,,,,,,,,,1974/5/10,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/sanjuusanhaka.html,,愛媛県松山市立岩中村字門前
382019,0000000102,愛媛県松山市,礎石（通称･茶臼権現）,ソセキ（ツウショウ　チャウスゴンゲン）,,,市指定史跡,その他,,382019,119000,愛媛県松山市河野別府,愛媛県,松山市,河野別府,,,33.94897242,132.7828133,,,,,,,,,,,,,1974/6/10,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/soseki_chausugongen.html,,愛媛県松山市河野別府
382019,0000000103,愛媛県松山市,善応寺古墳（通称･河野塚）,ゼンオウジコフン（ツウショウ　コウノヅカ）,,,市指定史跡,その他,,382019,162000,愛媛県松山市善応寺,愛媛県,松山市,善応寺,,,33.95088089,132.79166,,,,,,,,,,,,,1974/6/10,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/zennouji_kofun.html,,愛媛県松山市善応寺
382019,0000000104,愛媛県松山市,南宮の戸貝塚,ミナミミヤノトカイヅカ,,,市指定史跡,その他,,382019,168000,愛媛県松山市高田,愛媛県,松山市,高田,,,33.96825397,132.7972688,,,,,,,,,,,,,1978/7/10,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/minamimiyanoto_tuka.html,,愛媛県松山市高田
382019,0000000105,愛媛県松山市,沼田氏五輪塔,ヌマタシゴリントウ,,,市指定史跡,その他,,382019,341000,愛媛県松山市柳原,愛媛県,松山市,柳原,,,33.9552027,132.7714359,,,,,,,,,,,,,1979/10/8,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/numatashi_gorintou.html,,愛媛県松山市柳原
382019,0000000106,愛媛県松山市,白石兎遊句歌碑,シライシトユウクカヒ,,,市指定史跡,その他,,382019,341000,愛媛県松山市柳原,愛媛県,松山市,柳原,,,33.9552027,132.7714359,,,,,,,,,,,,,1979/10/8,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/siraisitoyuu_kukahi.html,,愛媛県松山市柳原
382019,0000000107,愛媛県松山市,得居家墓碑群,トクイケボヒグン,,,市指定史跡,その他,,382019,341000,愛媛県松山市柳原,愛媛県,松山市,柳原,,,33.9552027,132.7714359,,,,,,,,,,,,,1979/10/8,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/tokuike_bohigun.html,,愛媛県松山市柳原
382019,0000000108,愛媛県松山市,丸山古墳,マルヤマコフン,,,市指定史跡,その他,,382019,236000,愛媛県松山市野忽那宮ノ鼻,愛媛県,松山市,野忽那宮ノ鼻,,,33.97340466,132.6923765,,,,,,,,,1,基,,,1968‐10,,,,,,,,,,,http://www.city.matsuyama.ehime.jp/kanko/kankoguide/rekishibunka/bunkazai/shi/maruyama_kofun.html,,愛媛県松山市野忽那宮ノ鼻
