level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
3	1	65	0	0	0	50.160000	182.529080	2.940000	5.880000	-1	###FLOW###
4	1	65	0	0	0	50.160000	182.529080	2.940000	5.880000	-1	###LINE###
5	1	65	0	0	0	50.16	182.53	2.94	5.88	100	6
3	1	66	0	0	0	67.320000	182.529080	26.848080	5.880000	-1	###FLOW###
4	1	66	0	0	0	67.320000	182.529080	26.848080	5.880000	-1	###LINE###
5	1	66	0	0	0	67.32	182.53	5.88	5.88	100	建
5	1	66	0	0	1	76.30	182.53	17.86	5.88	100	第６号
3	1	67	0	0	0	102.600000	182.649080	59.880000	5.880000	-1	###FLOW###
4	1	67	0	0	0	102.600000	182.649080	59.880000	5.880000	-1	###LINE###
5	1	67	0	0	0	102.60	182.65	59.88	5.88	100	有形文化財（建造物）
3	1	68	0	0	0	187.460000	182.649080	17.880000	5.880000	-1	###FLOW###
4	1	68	0	0	0	187.460000	182.649080	17.880000	5.880000	-1	###LINE###
5	1	68	0	0	0	187.46	182.65	17.88	5.88	100	建造物
3	1	69	0	0	0	222.380000	181.298360	37.746720	3.960000	-1	###FLOW###
4	1	69	0	0	0	222.380000	181.298360	37.746720	3.960000	-1	###LINE###
5	1	69	0	0	0	222.38	181.30	37.75	3.96	100	いなりじんじゃしんでん
3	1	70	0	0	0	378.770000	182.649080	11.880000	5.880000	-1	###FLOW###
4	1	70	0	0	0	378.770000	182.649080	11.880000	5.880000	-1	###LINE###
5	1	70	0	0	0	378.77	182.65	11.88	5.88	100	１棟
3	1	71	0	0	0	405.770000	182.649080	44.811480	5.880000	-1	###FLOW###
4	1	71	0	0	0	405.770000	182.649080	44.811480	5.880000	-1	###LINE###
5	1	71	0	0	0	405.77	182.65	44.81	5.88	100	昭和60年10月1日
3	1	72	0	0	0	457.510000	182.649080	83.941200	5.880000	-1	###FLOW###
4	1	72	0	0	0	457.510000	182.649080	83.941200	5.880000	-1	###LINE###
5	1	72	0	0	0	457.51	182.65	83.94	5.88	100	由利本荘市岩城赤平字梅ヶ沢10
3	1	73	0	0	0	575.110000	182.649080	23.880000	5.880000	-1	###FLOW###
4	1	73	0	0	0	575.110000	182.649080	23.880000	5.880000	-1	###LINE###
5	1	73	0	0	0	575.11	182.65	23.88	5.88	100	熊野神社
3	1	74	0	0	0	50.160000	200.169080	2.940000	5.880000	-1	###FLOW###
4	1	74	0	0	0	50.160000	200.169080	2.940000	5.880000	-1	###LINE###
5	1	74	0	0	0	50.16	200.17	2.94	5.88	100	7
3	1	75	0	0	0	67.320000	200.169080	26.848080	5.880000	-1	###FLOW###
4	1	75	0	0	0	67.320000	200.169080	26.848080	5.880000	-1	###LINE###
5	1	75	0	0	0	67.32	200.17	5.88	5.88	100	建
5	1	75	0	0	1	76.30	200.17	17.86	5.88	100	第７号
3	1	76	0	0	0	102.600000	200.289080	59.880000	5.880000	-1	###FLOW###
4	1	76	0	0	0	102.600000	200.289080	59.880000	5.880000	-1	###LINE###
5	1	76	0	0	0	102.60	200.29	59.88	5.88	100	有形文化財（建造物）
3	1	77	0	0	0	187.460000	200.289080	17.880000	5.880000	-1	###FLOW###
4	1	77	0	0	0	187.460000	200.289080	17.880000	5.880000	-1	###LINE###
5	1	77	0	0	0	187.46	200.29	17.88	5.88	100	建造物
3	1	78	0	0	0	222.380000	198.938360	47.571480	3.960000	-1	###FLOW###
4	1	78	0	0	0	222.380000	198.938360	47.571480	3.960000	-1	###LINE###
5	1	78	0	0	0	222.38	198.94	14.78	3.96	100	かまだけ
5	1	78	0	0	1	239.77	198.94	30.18	3.96	100	（おかかえかじや）
3	1	79	0	0	0	378.770000	200.289080	11.880000	5.880000	-1	###FLOW###
4	1	79	0	0	0	378.770000	200.289080	11.880000	5.880000	-1	###LINE###
5	1	79	0	0	0	378.77	200.29	11.88	5.88	100	１棟
3	1	80	0	0	0	405.770000	200.289080	44.811480	5.880000	-1	###FLOW###
4	1	80	0	0	0	405.770000	200.289080	44.811480	5.880000	-1	###LINE###
5	1	80	0	0	0	405.77	200.29	44.81	5.88	100	昭和60年10月1日
